Name,month,New Case Count
Boston,3,1346
Boston,4,11517
Boston,5,5046
Boston,6,1883
Boston,7,1403
Boston,8,2250
Boston,9,-440
Dallas,3,620
Dallas,4,2900
Dallas,5,6703
Dallas,6,11104
Dallas,7,29961
Dallas,8,23277
Dallas,9,3715
Denver,3,516
Denver,4,2462
Denver,5,2774
Denver,6,1316
Denver,7,2532
Denver,8,1642
Denver,9,420
Detroit,3,3727
Detroit,4,13014
Detroit,5,3689
Detroit,6,2353
Detroit,7,4301
Detroit,8,4164
Detroit,9,1882
Honolulu,3,155
Honolulu,4,242
Honolulu,5,22
Honolulu,6,231
Honolulu,7,1103
Honolulu,8,5936
Honolulu,9,1812
Los Angeles,3,2958
Los Angeles,4,20171
Los Angeles,5,31814
Los Angeles,6,48533
Los Angeles,7,84952
Los Angeles,8,53287
Los Angeles,9,10298
Miami,3,2115
Miami,4,9940
Miami,5,5936
Miami,6,18820
Miami,7,81642
Miami,8,38448
Miami,9,6465
New York City,3,43249
New York City,4,129266
New York City,5,35301
New York City,6,11759
New York City,7,9990
New York City,8,9104
New York City,9,2998
San Francisco,3,369
San Francisco,4,1102
San Francisco,5,1059
San Francisco,6,1045
San Francisco,7,2972
San Francisco,8,2919
San Francisco,9,694
Seattle,3,1943
Seattle,4,3978
Seattle,5,1851
Seattle,6,2037
Seattle,7,5018
Seattle,8,4468
Seattle,9,1034
